Currency_Code,Exchange_Rate,Date
JPY,0.1568,2022-12-06
AUD,0.0,2022-01-22
GBP,0.0,2022-11-17
EUR,0.4466,2022-06-19
EUR,0.8967,2022-04-02
AUD,0.0,2022-10-04
GBP,0.0,2022-02-16
JPY,0.0,2022-09-20
JPY,0.0,2022-11-06
EUR,0.5671,2022-11-19
EUR,0.5215,2022-07-30
AUD,0.6407,2022-01-31
AUD,0.0,2022-11-24
GBP,0.0,2022-05-06
USD,0.0,2022-01-18
EUR,0.0,2022-03-28
AUD,0.2403,2022-08-03
JPY,0.0,2022-12-01
AUD,0.3327,2022-05-20
GBP,0.8216,2022-01-29
USD,1.1069,2022-09-21
AUD,0.257,
JPY,1.2932,2022-05-10
AUD,0.1923,2022-08-06
USD,0.3757,2022-03-12
USD,0.7099,2022-01-11
AUD,1.4343,2022-02-14
GBP,0.0,2022-07-12
EUR,0.0,2022-12-18
USD,1.083,2022-08-31
JPY,0.0,2022-06-24
GBP,0.2254,2022-12-13
GBP,0.7429,2022-11-28
JPY,0.0494,2022-06-15
AUD,0.0,2022-12-29
EUR,1.4428,2022-03-09
USD,1.3325,2022-08-26
EUR,0.002,2022-07-25
GBP,0.9102,2022-04-30
AUD,0.0,2022-01-08
EUR,1.3563,2022-12-09
EUR,0.0,2022-10-08
JPY,1.4563,2022-07-15
EUR,0.4042,2022-03-20
AUD,0.0,2022-10-26
GBP,0.8587,2022-07-25
GBP,0.982,
USD,0.0,2022-05-09
GBP,0.3462,2022-04-26
EUR,0.0,2022-12-09
AUD,0.0,2022-12-05
AUD,1.1514,2022-08-04
GBP,1.247,2022-01-13
AUD,1.472,2022-10-26
EUR,0.5844,2022-12-01
GBP,0.8702,2022-03-11
EUR,0.0,2022-12-10
USD,0.7876,2022-06-21
USD,0.0,2022-01-21
GBP,0.0,2022-03-24
JPY,0.8521,2022-07-28
GBP,0.9203,2022-11-09
EUR,0.0,2022-01-03
EUR,0.9438,2022-09-10
JPY,1.4545,2022-11-27
EUR,1.2257,2022-09-01
AUD,0.0,2022-09-11
EUR,0.0,2022-05-15
GBP,0.4509,2022-06-19
EUR,0.0,2022-12-13
GBP,0.1209,2022-09-05
EUR,0.4251,2022-12-21
GBP,0.3714,2022-11-21
AUD,0.708,2022-10-17
JPY,1.3782,2022-03-20
EUR,1.2399,2022-08-05
GBP,0.0,2022-01-28
EUR,0.1217,2022-12-22
JPY,0.0016,2022-04-20
EUR,0.0,2022-02-06
USD,0.0,2022-03-27
GBP,0.4907,2022-04-02
EUR,0.9873,2022-09-09
AUD,0.9356,2022-03-11
EUR,0.0,2022-06-11
EUR,0.3285,2022-12-07
JPY,0.9238,2022-02-01
JPY,0.0,2022-05-23
USD,1.4109,2022-05-17
JPY,0.5005,2022-11-25
EUR,0.8977,2022-03-06
AUD,0.0918,2022-05-23
AUD,1.2861,2022-04-08
AUD,0.5878,2022-09-23
GBP,1.3185,2022-03-08
GBP,0.2036,2022-09-13
JPY,0.0,2022-11-03
AUD,1.3688,2022-06-09
JPY,0.6323,2022-12-24
USD,1.4062,2022-06-25
JPY,1.4232,2022-06-14
AUD,0.4489,2022-12-14
GBP,0.2257,2022-08-06
AUD,0.0,
AUD,1.033,2022-10-13
JPY,0.656,2022-01-16
EUR,0.7498,2022-09-30
EUR,1.0258,2022-12-09
EUR,1.2392,2022-08-27
JPY,0.7692,2022-05-29
USD,1.1925,2023-01-01
USD,0.8633,2022-08-24
GBP,0.6375,2022-02-09
AUD,1.1335,2022-06-03
JPY,0.0,2022-07-11
EUR,0.0,2022-04-16
JPY,1.1569,2022-07-02
EUR,1.2636,2022-10-16
AUD,0.9485,2022-08-03
USD,0.0,2022-09-29
JPY,0.7688,2022-01-03
AUD,0.8673,2022-10-26
JPY,0.2365,2022-06-15
AUD,0.9607,2022-08-29
EUR,0.1647,2022-07-26
USD,1.2023,2022-09-23
AUD,1.1111,2022-03-24
JPY,0.0,2022-03-24
EUR,0.2551,2022-05-10
GBP,0.7149,2022-08-07
USD,1.089,2022-05-22
EUR,0.6769,
GBP,0.3273,2022-10-10
GBP,0.8458,2022-01-08
USD,0.0,2022-08-31
EUR,0.5259,2022-10-04
GBP,0.5851,2022-06-11
AUD,0.0,2022-12-28
USD,0.4114,2022-01-22
EUR,1.3433,2022-08-17
EUR,1.0005,2022-10-19
JPY,0.0,2022-01-30
EUR,0.8499,2022-10-05
GBP,0.0,2022-10-13
AUD,0.4579,2022-03-17
AUD,0.0,2022-02-24
AUD,0.3628,2022-08-25
EUR,0.0287,2022-02-14
EUR,0.4764,2022-02-06
AUD,0.0,2022-06-21
USD,0.9626,2022-11-09
JPY,0.0,
AUD,0.0544,2022-08-20
USD,0.7204,2022-05-31
EUR,1.4025,2022-02-21
EUR,0.6934,2022-11-21
JPY,0.7423,2022-07-09
USD,0.1455,2022-11-19
AUD,0.95,2022-04-14
AUD,0.0,2022-11-08
JPY,0.5443,2022-09-27
EUR,1.3203,2022-08-02
JPY,1.4118,2022-10-21
USD,0.4519,2022-10-11
AUD,1.0269,2022-08-27
EUR,0.0,
AUD,0.0,2022-03-19
AUD,1.3432,2022-10-22
JPY,0.6288,2022-10-25
GBP,0.0,2022-12-25
AUD,0.0,2022-09-23
GBP,1.3368,2022-05-30
USD,0.4265,2022-06-23
JPY,1.4588,2022-04-21
USD,0.0,2022-02-10
USD,0.0862,2022-05-16
GBP,0.0302,2022-04-02
EUR,0.1109,2022-05-09
EUR,0.0,2022-06-30
JPY,0.395,2022-06-14
JPY,0.7664,2022-05-25
AUD,0.0,2022-09-14
USD,0.9787,2022-05-07
AUD,1.1225,2022-03-02
JPY,0.9093,2022-08-24
USD,1.0731,2022-03-28
JPY,0.8314,2022-07-04
AUD,0.0,2022-07-24
EUR,0.4544,2022-11-19
EUR,0.0,2022-12-09
USD,1.2006,2022-03-22
AUD,0.0982,2022-12-26
USD,0.6597,2022-06-10
JPY,0.156,2022-12-21
EUR,0.7107,2022-03-10
GBP,0.8593,2022-08-02
GBP,1.0825,2022-04-13
USD,0.6537,2022-08-26
AUD,0.0,2022-08-05
GBP,0.0,2022-01-11
USD,1.2082,2022-01-30
JPY,0.0618,2022-11-04
EUR,0.0,2022-08-27
AUD,0.15,2022-08-08
GBP,0.748,2022-11-10
AUD,1.0374,2022-06-14
AUD,0.897,2022-11-23
AUD,0.0,2022-02-15
GBP,0.9627,2022-04-04
JPY,0.8792,2022-02-07
AUD,0.2948,2022-08-04
EUR,0.0,2022-03-23
USD,0.0,2022-01-23
JPY,0.7875,2022-01-15
EUR,1.2328,2022-09-18
EUR,0.0,2022-03-19
AUD,0.142,2022-08-23
GBP,1.0964,2022-10-20
EUR,0.6875,2022-04-19
USD,0.0,2022-08-11
GBP,0.5603,2022-11-07
GBP,0.0,2022-12-16
JPY,1.2813,2022-01-02
AUD,0.5275,2022-05-04
EUR,0.8772,2022-02-11
EUR,0.0,2022-08-21
AUD,1.3405,2022-01-28
USD,0.9386,2022-03-05
EUR,0.1422,2022-01-13
JPY,0.0,2022-09-22
USD,0.3182,2022-02-14
USD,1.2567,2022-03-24
GBP,0.6239,2022-04-14
USD,0.0072,2022-07-25
AUD,0.8744,
USD,1.2628,2022-04-13
GBP,1.2379,2022-06-07
USD,0.0,2022-10-26
JPY,0.0,2022-04-18
JPY,0.2058,2022-11-03
GBP,1.0085,2022-10-19
AUD,0.8032,2022-06-19
EUR,0.8268,2022-10-22
EUR,0.0,2022-12-06
JPY,1.4323,2022-10-18
EUR,1.425,2022-02-16
AUD,0.8338,2022-04-18
EUR,0.0,2022-11-25
GBP,0.0,2022-03-28
JPY,0.0,2022-01-03
AUD,0.7073,2022-11-28
JPY,0.8588,2022-08-16
AUD,1.0934,2022-03-02
EUR,0.0,2022-03-09
AUD,1.1256,2022-07-16
JPY,0.0,2022-07-01
GBP,0.3966,2022-06-16
JPY,0.0,2022-02-02
GBP,0.0,2022-09-04
USD,1.4734,2022-06-04
EUR,0.7971,
GBP,1.1477,2022-12-28
JPY,0.0,2022-10-26
USD,1.2224,2022-10-09
JPY,0.0,2022-09-05
AUD,0.4373,2022-04-24
EUR,0.8579,2022-10-14
USD,0.0,2022-06-02
AUD,0.4065,2022-08-02
JPY,0.0,2022-04-01
GBP,0.0,2022-06-09
GBP,1.2641,2022-06-20
USD,0.3176,2022-11-17
EUR,0.0595,2022-11-05
AUD,0.8805,2022-09-06
AUD,0.0,2022-09-28
USD,0.388,2022-03-10
USD,0.6291,2022-10-11
USD,0.6139,2022-10-03
JPY,0.0,2022-04-16
EUR,0.3122,2022-08-12
AUD,1.1561,2022-07-11
AUD,0.7046,2022-03-20
USD,0.6746,2022-07-04
USD,0.0,2022-06-24
GBP,0.1075,2022-03-16
GBP,0.0,2022-10-28
EUR,0.3977,2022-03-28
JPY,0.4993,
GBP,0.0,2022-07-28
GBP,0.1205,2022-12-16
USD,0.0,2022-03-05
AUD,0.9357,2022-03-30
USD,0.1916,2022-05-14
USD,0.861,2022-06-02
USD,0.1921,2022-04-12
JPY,0.1202,2022-12-23
AUD,1.26,2022-02-13
EUR,1.2818,2022-02-24
AUD,0.123,2022-11-15
GBP,0.0,2022-05-09
JPY,0.2582,2022-01-10
AUD,1.0819,2022-05-24
AUD,0.2668,2022-08-05
GBP,1.0422,2022-01-02
JPY,0.0,2022-09-14
JPY,0.0,2022-09-29
EUR,0.09,2022-09-16
AUD,1.1994,2022-12-27
AUD,1.1296,2022-04-03
GBP,0.0,2022-08-03
EUR,0.3098,2022-09-19
EUR,0.7044,2022-07-21
GBP,1.1808,2022-09-20
AUD,0.0,2022-11-14
JPY,0.0,2022-10-05
EUR,0.0,2022-01-21
GBP,0.6304,2022-02-19
USD,0.9947,2022-03-12
AUD,0.0,2022-10-15
AUD,0.0,2022-08-08
USD,0.0,2022-04-01
JPY,0.4967,2022-01-30
JPY,1.1556,2022-02-07
EUR,0.999,2022-11-29
EUR,0.0,2022-01-17
EUR,0.0,2022-01-23
GBP,0.2884,2022-03-17
JPY,0.2279,2022-07-08
JPY,0.0,2022-06-22
EUR,0.7888,2022-05-06
AUD,0.0,2022-06-21
EUR,1.2826,2022-06-28
USD,0.6562,2022-12-29
USD,0.0,2022-09-09
AUD,0.3907,2022-02-05
GBP,0.144,2022-10-30
USD,0.0959,2022-02-11
GBP,0.0,2022-11-21
GBP,0.0,2022-10-27
JPY,0.0549,2022-11-22
EUR,0.0,2022-07-21
GBP,0.0845,2022-04-15
EUR,0.0562,2022-07-16
GBP,0.6982,2022-12-14
AUD,0.9793,2022-03-05
EUR,1.3998,2022-02-09
EUR,0.2572,2022-07-11
USD,0.0,2022-11-03
USD,0.0,2022-02-28
AUD,1.4272,2022-12-14
AUD,0.0215,2022-02-05
JPY,0.0,2022-01-23
USD,0.0,2022-09-01
USD,0.9902,2022-04-10
USD,0.02,2022-04-30
AUD,0.7049,2022-10-18
JPY,0.7337,2022-08-16
AUD,1.31,2022-02-14
GBP,0.2042,2022-09-25
GBP,0.5817,2022-02-14
AUD,0.2056,2022-05-25
EUR,0.0,2022-01-14
EUR,1.2265,2022-04-13
EUR,0.6109,2022-10-08
USD,0.221,2022-08-21
JPY,0.0,2022-12-01
USD,0.1584,2022-07-27
USD,1.3129,2022-07-01
EUR,0.8726,2022-06-21
EUR,0.6266,2022-10-13
EUR,1.3695,2022-07-27
AUD,0.0359,2022-02-13
JPY,0.0,2022-03-31
GBP,0.2678,2022-12-09
EUR,0.0,2022-11-11
EUR,1.2141,2022-05-06
JPY,0.4268,2022-01-30
JPY,0.6888,2022-09-16
JPY,0.0,2022-08-06
USD,0.3498,2022-03-15
JPY,1.0888,2022-02-09
EUR,1.1745,2022-11-01
USD,0.0,2022-07-05
USD,0.0,2022-04-03
USD,0.9479,2022-06-28
GBP,0.0094,2022-03-22
AUD,0.0,2022-03-10
USD,0.2581,2022-10-01
GBP,0.2514,2022-10-19
JPY,0.2933,2022-01-08
JPY,0.0,2022-04-14
GBP,1.3096,2022-05-27
GBP,1.022,2022-08-11
USD,0.8232,2022-11-19
AUD,0.9591,2022-12-03
JPY,0.3018,2022-02-21
JPY,1.1558,2022-09-22
GBP,1.1705,2022-10-14
JPY,1.0036,2022-08-13
GBP,1.293,2022-09-27
AUD,0.9105,2022-04-15
GBP,0.5612,2022-05-22
GBP,0.0,2022-05-28
EUR,0.0,2022-03-26
USD,0.1761,2022-07-29
GBP,0.0,2022-11-24
AUD,1.2554,2022-05-17
USD,0.0,
AUD,0.0,2022-05-22
USD,0.0,2022-11-20
AUD,0.1728,2022-05-16
USD,0.3165,2022-03-23
JPY,0.1348,2022-05-28
EUR,0.0001,2022-12-31
GBP,0.4195,2022-09-02
USD,1.3155,2022-06-16
GBP,0.5417,2022-03-06
GBP,1.216,2022-03-25
JPY,0.0,2022-04-13
EUR,0.2755,2022-05-30
JPY,0.8996,2022-08-14
GBP,0.0,2022-11-10
EUR,0.0,2022-10-02
AUD,0.2691,2022-04-06
AUD,0.0,2022-06-17
AUD,0.0,2022-10-04
USD,0.2822,2022-10-11
AUD,0.0,2022-11-07
USD,1.1911,2022-12-03
USD,0.4163,2022-04-07
EUR,0.296,2022-09-20
JPY,1.1441,2022-02-05
GBP,0.1046,2022-02-19
JPY,0.5975,2022-04-05
JPY,0.1494,2022-02-19
GBP,1.248,2022-12-01
USD,0.0,2022-02-22
AUD,1.3785,2022-02-17
JPY,0.0,2022-02-15
JPY,0.5629,2022-01-06
AUD,0.0,2022-07-06
GBP,0.8055,2022-01-29
AUD,0.6844,2022-09-12
USD,0.7812,2022-05-31
GBP,1.0874,2022-10-01
AUD,1.4299,2022-08-15
GBP,0.0,2022-12-07
EUR,1.0121,2022-03-10
GBP,0.1109,2022-02-20
USD,0.8262,2022-12-15
USD,0.3449,2022-04-04
GBP,0.0,2022-01-19
EUR,0.0,2022-12-02
EUR,0.2723,2022-06-19
AUD,0.3531,2022-12-05
JPY,0.5376,2022-11-15
EUR,1.1422,2022-06-04
EUR,0.751,2022-12-27
JPY,0.672,2022-03-19
JPY,0.0,2022-07-23
GBP,0.0,2022-11-22
USD,0.116,2022-12-02
GBP,0.0,2022-07-06
USD,1.0954,2022-11-30
EUR,1.3436,2022-03-12
EUR,0.0,2022-09-09
JPY,0.5078,2022-10-30
GBP,1.2911,2022-10-03
EUR,1.3479,2022-01-05
AUD,0.0,2022-04-21
AUD,1.4302,2022-03-30
JPY,1.219,2022-06-04
AUD,0.2326,2022-04-13
EUR,1.4183,2022-03-05
EUR,0.305,2022-08-29
EUR,0.5164,2022-06-08
USD,0.9816,2022-03-25
GBP,0.4973,2022-10-11
JPY,0.7967,2022-05-26
USD,0.4219,2022-10-01
JPY,0.4828,2022-04-07
USD,1.2354,2022-10-28
JPY,1.4562,2022-07-01
AUD,0.0,2022-05-29
AUD,0.8296,2022-04-29
EUR,1.3747,2022-08-18
JPY,0.7023,2022-06-11
GBP,0.5508,2022-07-05
GBP,0.1226,2022-06-16
JPY,0.6252,2022-09-28
AUD,0.0,2022-01-18
EUR,0.8877,
USD,0.0,2022-11-02
USD,0.1871,2022-05-11
JPY,1.2178,2022-03-06
JPY,0.0,2022-02-20
EUR,0.0,2022-09-26
USD,0.1959,2022-10-26
GBP,0.0,2022-09-23
USD,0.0,2022-05-04
EUR,0.8672,2022-04-05
JPY,0.0767,2022-06-01
JPY,1.3085,2022-01-09
EUR,0.0,2022-11-17
USD,0.0144,2022-12-26
GBP,0.5776,2022-12-06
JPY,0.5959,2022-05-21
AUD,0.6855,2022-03-09
USD,0.7965,2022-06-18
AUD,0.8019,2022-02-16
AUD,1.2792,2022-03-02
EUR,0.7315,2022-08-21
GBP,0.4686,2022-01-15
USD,0.0,2022-12-07
JPY,1.4043,2022-10-18
AUD,0.467,2022-06-16
GBP,0.0425,2022-07-09
GBP,0.4026,2022-07-25
USD,1.4506,2022-06-21
EUR,1.2727,2022-10-18
EUR,0.0,2022-08-05
GBP,1.2407,2022-06-07
AUD,0.737,2022-11-10
EUR,1.4606,2022-06-05
EUR,0.0,2022-07-25
GBP,0.3153,2022-01-08
GBP,1.2659,2022-03-13
AUD,0.0,2022-01-21
AUD,0.0,2022-04-26
EUR,0.0,2022-06-14
GBP,0.0,2022-03-06
EUR,1.4519,2022-10-02
AUD,0.2313,2022-12-27
GBP,1.4673,2022-06-04
GBP,0.4231,2022-05-12
EUR,0.0,2022-12-06
USD,0.7732,2022-10-26
JPY,0.5734,2022-04-21
EUR,1.1297,2022-07-28
AUD,0.0,2022-05-22
JPY,0.5834,2022-02-08
USD,0.334,2022-11-23
GBP,1.3013,2022-03-15
JPY,0.0,2022-12-09
EUR,0.0,2022-03-04
AUD,1.4063,2022-02-12
GBP,0.742,2022-11-10
GBP,1.418,2022-05-19
USD,0.0,2022-10-07
USD,0.0,2022-06-16
GBP,0.1134,2022-08-05
EUR,1.1918,2022-01-16
AUD,0.5734,2022-11-17
EUR,0.0,2022-08-27
USD,0.5377,2022-06-28
AUD,0.0961,2022-07-16
GBP,0.0,2022-07-08
AUD,0.0,2022-09-13
AUD,0.0,
JPY,0.0813,2022-06-05
GBP,1.2103,2022-05-22
AUD,0.0,
EUR,1.1644,2022-01-07
JPY,0.5408,2022-07-06
GBP,0.5163,2022-05-28
EUR,1.2002,2022-01-13
AUD,0.2059,2022-10-07
USD,0.7132,2022-05-09
USD,0.0,2022-09-16
USD,0.6687,2022-03-22
AUD,0.0,
USD,0.0,2022-01-27
EUR,0.0,2022-06-06
JPY,0.0,2022-02-22
AUD,0.0,2022-05-15
JPY,1.3149,2022-06-19
JPY,0.3097,2022-07-22
GBP,0.0,2022-02-19
USD,0.0,2022-06-12
USD,0.5586,2022-07-06
USD,0.6579,2022-05-18
USD,1.3049,2022-06-26
GBP,0.0,2022-03-03
USD,0.0,2022-02-12
USD,1.2881,2022-12-29
EUR,0.0,2022-06-16
EUR,0.0,2022-06-14
USD,1.4977,2022-12-16
AUD,0.3822,2022-05-03
USD,1.0609,2022-12-30
GBP,0.0,2022-03-04
USD,0.5787,2022-06-29
JPY,0.0,2022-06-15
EUR,0.0,2022-04-19
GBP,0.2794,2022-09-17
EUR,0.0,2022-06-13
EUR,0.0156,2022-02-26
JPY,1.1526,2022-07-17
GBP,1.3211,2022-09-30
GBP,1.2095,2022-12-29
AUD,0.0,2022-03-13
EUR,0.1376,2022-01-12
EUR,0.0,2022-10-17
GBP,1.3347,2022-09-29
USD,1.2976,2022-12-23
AUD,0.0,2022-05-28
EUR,0.0,2022-08-27
EUR,0.0,2022-11-26
GBP,0.0,2022-11-03
EUR,1.388,2022-07-18
JPY,0.3243,2022-04-22
JPY,0.0,2022-08-09
USD,0.6312,2022-09-13
USD,0.0,2022-05-14
AUD,1.1293,2022-12-27
EUR,0.7851,2022-09-06
AUD,0.5969,2022-06-01
EUR,1.4561,2022-01-31
AUD,0.675,2022-05-19
USD,0.9297,2022-03-05
GBP,0.1755,2022-01-18
GBP,0.9873,
JPY,0.6789,2022-06-05
EUR,0.1483,2022-07-30
GBP,0.0934,2022-03-08
GBP,1.0702,2022-08-11
GBP,0.3167,2022-07-18
JPY,0.0,2022-10-29
EUR,0.0,2022-01-29
JPY,0.0,2022-11-30
USD,0.0689,2022-01-28
JPY,1.3773,2022-08-13
USD,0.3882,2022-07-11
AUD,0.7007,2022-07-12
AUD,0.0073,2022-02-14
JPY,0.0,2022-01-10
JPY,0.5005,2022-07-17
USD,1.0133,2022-05-20
EUR,0.0,2022-06-10
JPY,0.996,2022-12-02
JPY,0.1291,2022-06-15
JPY,1.3228,2022-11-09
EUR,0.0,2022-07-23
AUD,0.0,2022-08-18
JPY,1.222,
AUD,1.466,2022-09-10
USD,0.0,2022-10-16
JPY,0.0,2022-06-30
JPY,0.6651,2022-11-08
EUR,0.4094,2022-11-21
GBP,1.0195,2022-10-03
EUR,0.2977,2022-08-18
GBP,0.0,2022-02-01
JPY,0.3402,2022-03-21
GBP,0.0,2022-02-24
GBP,1.0849,2022-11-23
JPY,0.0,2022-04-26
USD,0.2133,2022-02-28
USD,1.1559,2022-07-23
JPY,0.9946,2022-07-10
GBP,0.0655,2022-08-25
AUD,0.868,2022-04-05
GBP,0.3391,2022-05-19
USD,0.9108,2022-04-06
AUD,0.6366,2022-05-18
GBP,0.3456,2022-01-26
AUD,0.0,2022-06-06
EUR,0.0,2022-12-26
JPY,0.1619,2022-01-29
JPY,0.2904,2022-06-10
USD,1.1713,2022-03-17
EUR,0.241,2022-01-25
JPY,0.0,2022-08-07
USD,0.8446,2022-08-05
AUD,0.0,2022-12-05
AUD,1.4289,2022-02-13
JPY,0.2228,2022-04-16
USD,1.4797,2022-02-02
EUR,0.0,2022-09-14
EUR,0.0,2022-04-18
EUR,0.1487,2022-06-25
AUD,1.4748,2022-07-11
GBP,0.0,2022-05-18
GBP,0.0,2022-08-12
JPY,1.3831,2022-10-28
JPY,0.7591,2022-03-01
USD,1.0284,2022-11-21
AUD,0.6565,2022-12-07
AUD,1.2277,2022-04-21
EUR,0.2095,2022-06-13
USD,1.374,2022-04-02
USD,0.7878,2022-03-01
JPY,0.7925,2022-04-16
JPY,0.9502,2022-03-20
USD,0.0219,2022-05-18
USD,0.0,2022-10-16
GBP,1.4267,2022-10-24
GBP,0.0502,2022-03-10
EUR,1.2312,
EUR,0.4296,2022-05-14
JPY,0.536,2022-09-16
EUR,0.1865,2022-04-10
USD,1.1979,2022-07-16
JPY,0.1696,2022-11-29
EUR,0.0,
AUD,1.3029,2022-03-17
GBP,1.0494,2022-03-10
GBP,0.7567,2022-09-08
GBP,0.9511,2022-10-11
EUR,0.0,2022-06-06
EUR,1.2307,2022-01-05
JPY,0.0,2022-11-20
USD,0.8048,2022-03-30
AUD,0.3424,2022-11-25
AUD,0.7673,2022-02-13
USD,0.6852,2022-09-02
JPY,0.0,2022-10-20
AUD,1.0561,2022-10-11
AUD,0.2701,2022-10-15
JPY,1.0119,2022-07-13
AUD,1.3411,2022-05-21
EUR,0.4366,2022-05-28
AUD,0.0,2022-07-31
GBP,0.0,2022-11-30
EUR,1.0248,2022-01-03
AUD,0.3717,2022-02-14
EUR,0.1249,2022-02-18
USD,0.5351,2022-08-17
EUR,0.7654,2022-05-13
EUR,0.9049,2022-05-21
